"Wholesale fruit prices, organic and conventional, monthly and annual, 2013",,,,,,,,,,,,,,,,,
Commodity,Subgroup,Package,Organic/ Conventional,Terminal Market,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,2013
Apples,Braeburn,"cartons tray pack 80s,88s",Conv,Atlanta,30.06,29.44,31.21,33.92,31.33,30.25,N\A,N\A,N\A,37.40,31.45,31.44,32.00
Apples,Braeburn,"cartons tray pack 80s,88s",Org,Atlanta,54.00,52.62,48.50,46.91,75.88,85.00,N\A,N\A,N\A,N\A,60.29,59.00,56.92
Apples,Braeburn,"cartons tray pack, All Item Sizes",Conv,San Fran,34.25,33.54,32.00,N\A,34.29,33.99,35.00,N\A,N\A,N\A,N\A,32.94,33.82
Apples,Braeburn,"cartons tray pack 80s,88s",Org,San Fran,41.07,41.25,40.50,40.50,N\A,N\A,N\A,N\A,N\A,N\A,46.00,48.00,43.56
Apples,Fuji,"cartons tray pack 80s,88s",Conv,Atlanta,30.32,30.21,29.22,29.94,30.43,30.83,35.18,39.23,34.25,36.43,32.91,32.86,32.19
Apples,Fuji,"cartons tray pack 80s,88s",Org,Atlanta,59.28,51.86,48.75,44.48,47.00,N\A,N\A,N\A,65.00,65.00,60.58,60.58,54.60
Apples,Fuji,"cartons tray pack 80s,88s",Conv,San Fran,26.50,27.68,29.71,28.00,N\A,N\A,N\A,N\A,N\A,N\A,N\A,29.50,27.76
Apples,Fuji,"cartons tray pack 80s,88s",Org,San Fran,52.00,39.14,N\A,N\A,N\A,56.00,N\A,N\A,63.20,63.00,N\A,57.25,54.06
Apples,Gala,"cartons tray pack 80s,88s",Conv,Atlanta,40.16,39.00,36.92,38.83,39.71,40.10,40.92,40.77,39.05,33.63,31.46,36.33,38.19
Apples,Gala,"cartons tray pack 80s,88s",Org,Atlanta,59.18,55.57,59.50,56.20,56.50,69.50,69.50,64.00,64.66,65.00,65.00,66.26,62.81
Apples,Gala,"cartons tray pack 80s,88s",Conv,San Fran,N\A,33.00,N\A,N\A,34.00,34.00,42.53,42.50,N\A,N\A,N\A,N\A,39.65
Apples,Gala,"cartons tray pack 80s,88s",Org,San Fran,N\A,N\A,53.30,53.00,55.00,N\A,N\A,49.83,49.20,57.00,58.00,50.00,52.43
Apples,Golden Delicious,"cartons tray pack 80s,88s",Conv,Atlanta,32.15,31.41,31.15,32.69,32.35,33.44,33.97,33.05,30.23,31.92,32.76,35.88,32.71
Apples,Golden Delicious,"cartons tray pack 80s,88s",Org,Atlanta,55.00,55.00,53.13,48.59,46.04,48.50,48.14,46.50,N\A,65.00,65.00,63.42,53.52
Apples,Golden Delicious,"cartons tray pack 80s,88s",Conv,San Fran,N\A,N\A,N\A,N\A,N\A,N\A,32.43,32.50,32.50,N\A,N\A,N\A,32.48
Apples,Golden Delicious,"cartons tray pack 80s,88s",Org,San Fran,38.00,36.00,48.50,N\A,N\A,N\A,N\A,N\A,N\A,49.00,44.95,41.30,43.43
Apples,Granny Smith,"cartons tray pack 80s,88s",Conv,Atlanta,35.82,37.76,34.60,34.84,36.28,38.38,37.92,36.40,38.20,36.18,35.13,34.55,36.32
Apples,Granny Smith,"cartons tray pack 80s,88s",Org,Atlanta,59.79,59.50,59.50,59.50,N\A,N\A,55.50,55.50,88.10,73.00,71.83,71.00,67.81
Apples,Granny Smith,"cartons tray pack 80s,88s",Conv,San Fran,N\A,31.81,31.00,N\A,43.50,43.50,34.73,34.50,34.50,N\A,N\A,N\A,35.22
Apples,Granny Smith,"cartons tray pack 80s,88s",Org,San Fran,50.74,53.50,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,53.50,51.50,51.96
Apples,Red Delicious,"cartons tray pack 80s,88s",Conv,Atlanta,25.55,32.92,31.19,30.07,29.00,29.85,29.60,28.52,29.04,28.57,26.61,28.54,29.27
Apples,Red Delicious,"cartons tray pack 80s,88s",Org,Atlanta,N\A,N\A,37.14,35.65,37.63,N\A,N\A,N\A,N\A,N\A,36.00,39.20,37.09
Apples,Red Delicious,"cartons tray pack 80s,88s",Conv,San Fran,26.75,24.50,26.35,28.00,26.84,25.95,28.79,28.82,26.69,25.90,24.83,23.58,26.34
Apples,Red Delicious,"cartons tray pack 80s,88s",Org,San Fran,44.43,44.00,N\A,N\A,N\A,38.00,N\A,N\A,N\A,N\A,40.35,39.20,40.44
Apples,Cameo,"cartons tray pack 80s,88s",Conv,Atlanta,N\A,27.00,26.55,29.00,26.00,26.00,N\A,N\A,N\A,N\A,20.50,N\A,25.74
Apples,Cameo,"cartons tray pack 80s,88s",Org,Atlanta,54.00,51.65,48.50,44.00,N\A,N\A,N\A,N\A,N\A,60.00,59.47,59.00,53.41
Apples,Cameo,cartons tray pack All Item Sizes,Conv,San Fran,33.50,33.50,34.50,N\A,34.50,34.50,35.93,34.50,N\A,34.50,34.50,34.50,34.46
Apples,Cameo,cartons tray pack All Item Sizes,Org,San Fran,43.40,40.88,39.07,41.66,43.50,N\A,N\A,N\A,N\A,48.00,47.84,48.08,43.07
Apples,Pink Lady,"cartons tray pack 80s,88s",Conv,Atlanta,51.12,51.03,53.50,50.50,48.00,58.25,58.33,56.77,28.00,N\A,N\A,51.50,54.03
Apples,Pink Lady,"cartons tray pack 80s,88s",Org,Atlanta,73.13,69.50,68.00,54.58,65.00,85.00,85.00,N\A,N\A,N\A,N\A,N\A,72.06
Apples,Pink Lady,cartons tray pack 80s,Conv,San Fran,N\A,N\A,N\A,N\A,48.00,52.20,54.00,N\A,N\A,N\A,N\A,N\A,50.65
Apples,Pink Lady,cartons tray pack 80s88s,Org,San Fran,61.50,63.44,61.50,N\A,N\A,N\A,N\A,N\A,N\A,N\A,67.06,61.11,62.53
Avocados,Hass,cartons 2 layer,Conv,Atlanta,25.36,26.35,32.65,33.01,33.68,35.10,40.35,42.55,42.57,39.10,33.48,32.11,35.78
Avocados,Hass,cartons 2 layer,Org,Atlanta,49.50,49.50,52.27,50.93,54.03,56.50,58.00,62.71,64.00,75.00,59.42,58.50,56.02
Avocados,Hass,cartons 2 layer,Conv,San Fran,25.40,24.23,30.47,32.10,31.20,35.94,39.11,39.17,44.67,41.59,37.75,32.48,33.60
Avocados,Hass,cartons 2 layer,Org,San Fran,45.55,41.66,44.33,47.56,48.90,48.99,49.83,52.17,61.58,72.85,56.71,47.12,50.31
Raspberries,Red,flats 12 6-oz cups with lids,Conv,Atlanta,37.18,39.11,39.30,43.18,32.47,22.42,27.15,23.03,22.75,25.61,24.82,32.20,30.59
Raspberries,Red,flats 12 6-oz cups with lids,Org,Atlanta,N\A,N\A,N\A,N\A,41.15,35.63,N\A,N\A,30.05,36.77,N\A,N\A,33.94
Raspberries,Red,flats 12 6-oz cups with lids,Conv,San Fran,37.21,36.11,37.43,38.95,30.67,17.15,21.09,23.51,21.45,21.00,22.67,31.81,29.38
Raspberries,Red,flats 12 6-oz cups with lids,Org,San Fran,50.85,53.74,50.53,48.38,38.38,26.94,26.82,26.10,26.90,35.88,35.44,45.90,39.99
Strawberries,CA,flats 8 1-lb cntrs with lids,Conv,Atlanta,26.00,N\A,15.54,9.83,12.82,14.98,13.51,16.65,17.71,14.86,22.37,23.13,15.14
Strawberries,CA,flats 8 1-lb cntrs with lids,Org,Atlanta,N\A,N\A,N\A,N\A,20.50,28.81,26.61,15.50,32.50,N\A,N\A,N\A,26.30
Strawberries,CA,flats 8 1-lb cntrs with lids,Conv,San Fran,16.80,18.26,15.40,9.29,11.25,11.05,11.07,13.39,16.29,15.54,20.97,30.10,16.25
Strawberries,CA,flats 8 1-lb cntrs with lids,Org,San Fran,45.70,33.35,32.52,21.21,21.68,19.81,21.21,24.07,23.69,32.95,36.25,50.92,27.85
Bananas,,40 lb cartons,Conv,Atlanta,15.00,14.92,14.94,15.03,14.81,15.00,15.00,14.97,14.73,14.78,14.99,14.99,14.93
Bananas,,40 lb cartons,Org,Atlanta,23.00,23.62,24.38,24.23,24.02,24.50,24.50,24.55,24.52,24.82,24.26,25.84,24.25
Bananas,,40 lb cartons,Conv,San Fran,15.91,15.89,16.24,16.78,16.66,15.82,15.93,16.06,16.30,16.66,16.59,16.71,16.25
Bananas,,40 lb cartons,Org,San Fran,26.12,29.75,28.65,27.43,26.35,24.78,27.64,27.00,26.68,27.05,27.13,27.26,27.13
Oranges,Navel,7/10 bushel cartons,Conv,Atlanta,25.32,21.21,21.18,24.76,28.30,28.58,27.85,N\A,N\A,N\A,28.57,27.46,25.14
Oranges,Navel,7/10 bushel cartons,Org,Atlanta,N\A,N\A,N\A,N\A,37.50,N\A,N\A,N\A,N\A,N\A,45.00,43.30,40.55
Oranges,Navel,7/10 bushel cartons,Conv,San Fran,17.38,14.38,14.46,15.48,20.22,23.19,22.00,N\A,N\A,27.19,24.42,18.86,18.19
Oranges,Navel,7/10 bushel cartons,Org,San Fran,31.11,25.85,25.90,31.73,N\A,34.00,N\A,N\A,N\A,N\A,45.63,39.94,32.66
Pears,D'Anjou,4/5 bushel cartons,Conv,Atlanta,37.92,37.32,38.20,38.60,40.01,40.86,41.56,43.87,42.00,38.05,33.69,35.89,39.16
Pears,D'Anjou,4/5 bushel cartons,Org,Atlanta,59.00,59.50,59.50,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,60.13
Pears,D'Anjou,4/5 bushel cartons,Conv,San Fran,33.19,31.95,33.18,34.79,37.11,38.18,45.45,45.29,36.08,30.76,27.68,26.03,33.22
Pears,D'Anjou,4/5 bushel cartons,Org,San Fran,50.29,57.18,57.17,N\A,N\A,N\A,N\A,N\A,56.95,56.34,56.33,54.69,55.27
Pears,Bosc,4/5 bushel cartons,Conv,Atlanta,39.39,35.65,36.76,42.19,41.68,N\A,N\A,N\A,N\A,37.20,29.88,33.44,36.70
Pears,Bosc,4/5 bushel cartons,Org,Atlanta,59.13,59.50,59.50,N\A,N\A,N\A,N\A,N\A,N\A,65.00,65.00,65.00,62.04
Pears,Bosc,4/5 bushel cartons,Conv,San Fran,34.48,38.13,40.12,44.12,N\A,N\A,N\A,44.96,37.35,34.45,32.72,30.74,36.50
Pears,Bosc,4/5 bushel cartons,Org,San Fran,N\A,N\A,N\A,N\A,N\A,N\A,N\A,58.33,55.46,N\A,N\A,N\A,56.00
Pears,Bartlett,4/5 bushel cartons,Conv,Atlanta,41.12,40.85,35.50,N\A,N\A,N\A,N\A,N\A,35.46,31.87,30.24,32.60,34.17
Pears,Bartlett,4/5 bushel cartons,Org,Atlanta,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A,65.00,65.00,65.00,65.00
Pears,Bartlett,4/5 bushel cartons,Conv,San Fran,36.86,37.57,38.00,N\A,N\A,N\A,N\A,20.67,24.86,31.19,31.01,30.57,31.00
Pears,Bartlett,4/5 bushel cartons,Org,San Fran,N\A,N\A,N\A,N\A,N\A,N\A,N\A,55.93,50.59,45.80,40.15,39.50,47.40
